"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"71","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/DatasetDefinition.java","5","188","Found 'DU'-anomaly for variable 'haveItemCount' (lines '188'-'230').","Controversial Rules","DataflowAnomalyAnalysis"
"72","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/DatasetDefinition.java","5","189","Found 'DD'-anomaly for variable 'itemCount' (lines '189'-'205').","Controversial Rules","DataflowAnomalyAnalysis"
"73","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/DatasetDefinition.java","5","189","Found 'DU'-anomaly for variable 'itemCount' (lines '189'-'230').","Controversial Rules","DataflowAnomalyAnalysis"
"74","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/DatasetDefinition.java","5","190","Found 'DD'-anomaly for variable 'itemCountElement' (lines '190'-'207').","Controversial Rules","DataflowAnomalyAnalysis"
"75","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/DatasetDefinition.java","5","190","Found 'DU'-anomaly for variable 'itemCountElement' (lines '190'-'230').","Controversial Rules","DataflowAnomalyAnalysis"
"76","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/DatasetDefinition.java","5","205","Found 'DD'-anomaly for variable 'itemCount' (lines '205'-'205').","Controversial Rules","DataflowAnomalyAnalysis"
"77","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/DatasetDefinition.java","5","205","Found 'DU'-anomaly for variable 'itemCount' (lines '205'-'230').","Controversial Rules","DataflowAnomalyAnalysis"
"78","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/DatasetDefinition.java","5","206","Found 'DD'-anomaly for variable 'haveItemCount' (lines '206'-'206').","Controversial Rules","DataflowAnomalyAnalysis"
"79","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/DatasetDefinition.java","5","206","Found 'DU'-anomaly for variable 'haveItemCount' (lines '206'-'230').","Controversial Rules","DataflowAnomalyAnalysis"
"80","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/DatasetDefinition.java","5","207","Found 'DD'-anomaly for variable 'itemCountElement' (lines '207'-'207').","Controversial Rules","DataflowAnomalyAnalysis"
"81","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/DatasetDefinition.java","5","207","Found 'DU'-anomaly for variable 'itemCountElement' (lines '207'-'230').","Controversial Rules","DataflowAnomalyAnalysis"
"82","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/DatasetDefinition.java","5","240","Found 'DD'-anomaly for variable 'bImportOk' (lines '240'-'264').","Controversial Rules","DataflowAnomalyAnalysis"
"83","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/DatasetDefinition.java","5","278","Found 'DD'-anomaly for variable 'bImportOk' (lines '278'-'291').","Controversial Rules","DataflowAnomalyAnalysis"
"84","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/DatasetDefinition.java","5","278","Found 'DD'-anomaly for variable 'bImportOk' (lines '278'-'298').","Controversial Rules","DataflowAnomalyAnalysis"
"85","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/DatasetDefinition.java","5","278","Found 'DD'-anomaly for variable 'bImportOk' (lines '278'-'305').","Controversial Rules","DataflowAnomalyAnalysis"
"86","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/DatasetDefinitions.java","5","24","Found 'DD'-anomaly for variable 'bExportOk' (lines '24'-'32').","Controversial Rules","DataflowAnomalyAnalysis"
"87","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/DatasetDefinitions.java","5","26","Found 'DU'-anomaly for variable 'xmlMain' (lines '26'-'42').","Controversial Rules","DataflowAnomalyAnalysis"
"88","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/DatasetDefinitions.java","5","54","Found 'DD'-anomaly for variable 'bImportOk' (lines '54'-'61').","Controversial Rules","DataflowAnomalyAnalysis"
"89","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/DatasetDefinitions.java","5","80","Found 'DD'-anomaly for variable 'bImportOk' (lines '80'-'84').","Controversial Rules","DataflowAnomalyAnalysis"
"90","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/DatasetItem.java","5","78","Found 'DD'-anomaly for variable 'haveNumber' (lines '78'-'89').","Controversial Rules","DataflowAnomalyAnalysis"
"91","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/DatasetItem.java","5","79","Found 'DD'-anomaly for variable 'numberElement' (lines '79'-'90').","Controversial Rules","DataflowAnomalyAnalysis"
"92","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/DatasetItem.java","5","79","Found 'DU'-anomaly for variable 'numberElement' (lines '79'-'108').","Controversial Rules","DataflowAnomalyAnalysis"
"93","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/DatasetItem.java","5","80","Found 'DD'-anomaly for variable 'numberValue' (lines '80'-'88').","Controversial Rules","DataflowAnomalyAnalysis"
"94","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/DatasetItem.java","5","81","Found 'DD'-anomaly for variable 'haveValue' (lines '81'-'93').","Controversial Rules","DataflowAnomalyAnalysis"
"95","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/DatasetItem.java","5","88","Found 'DD'-anomaly for variable 'numberValue' (lines '88'-'88').","Controversial Rules","DataflowAnomalyAnalysis"
"96","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/DatasetItem.java","5","89","Found 'DD'-anomaly for variable 'haveNumber' (lines '89'-'89').","Controversial Rules","DataflowAnomalyAnalysis"
"97","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/DatasetItem.java","5","90","Found 'DD'-anomaly for variable 'numberElement' (lines '90'-'90').","Controversial Rules","DataflowAnomalyAnalysis"
"98","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/DatasetItem.java","5","90","Found 'DU'-anomaly for variable 'numberElement' (lines '90'-'108').","Controversial Rules","DataflowAnomalyAnalysis"
"99","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/DatasetItem.java","5","93","Found 'DD'-anomaly for variable 'haveValue' (lines '93'-'93').","Controversial Rules","DataflowAnomalyAnalysis"
"100","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/DatasetItems.java","5","25","Found 'DD'-anomaly for variable 'bExportOk' (lines '25'-'32').","Controversial Rules","DataflowAnomalyAnalysis"
"101","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/DatasetItems.java","5","26","Found 'DU'-anomaly for variable 'xmlMain' (lines '26'-'42').","Controversial Rules","DataflowAnomalyAnalysis"
"102","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/DatasetItems.java","5","52","Found 'DD'-anomaly for variable 'bImportOk' (lines '52'-'59').","Controversial Rules","DataflowAnomalyAnalysis"
"103","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/DatasetItems.java","5","78","Found 'DD'-anomaly for variable 'bImportOk' (lines '78'-'82').","Controversial Rules","DataflowAnomalyAnalysis"
"104","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/Unit.java","5","78","Found 'DD'-anomaly for variable 'haveMultiplier' (lines '78'-'85').","Controversial Rules","DataflowAnomalyAnalysis"
"105","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/Unit.java","5","78","Found 'DD'-anomaly for variable 'haveUnitName' (lines '78'-'88').","Controversial Rules","DataflowAnomalyAnalysis"
"106","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/Unit.java","5","85","Found 'DD'-anomaly for variable 'haveMultiplier' (lines '85'-'85').","Controversial Rules","DataflowAnomalyAnalysis"
"107","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/Unit.java","5","88","Found 'DD'-anomaly for variable 'haveUnitName' (lines '88'-'88').","Controversial Rules","DataflowAnomalyAnalysis"
"108","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/Units.java","5","25","Found 'DD'-anomaly for variable 'bExportOk' (lines '25'-'33').","Controversial Rules","DataflowAnomalyAnalysis"
"109","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/Units.java","5","27","Found 'DU'-anomaly for variable 'xmlMain' (lines '27'-'43').","Controversial Rules","DataflowAnomalyAnalysis"
"110","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/Units.java","5","56","Found 'DD'-anomaly for variable 'bImportOk' (lines '56'-'63').","Controversial Rules","DataflowAnomalyAnalysis"
"111","fr.qxmlmoodle.question.calculated","src/fr/qxmlmoodle/question/calculated/Units.java","5","82","Found 'DD'-anomaly for variable 'bImportOk' (lines '82'-'86').","Controversial Rules","DataflowAnomalyAnalysis"
"112","fr.qxmlmoodle.question.matching","src/fr/qxmlmoodle/question/matching/SubQuestion.java","5","58","Found 'DD'-anomaly for variable 'bExportOk' (lines '58'-'65').","Controversial Rules","DataflowAnomalyAnalysis"
"113","fr.qxmlmoodle.question.matching","src/fr/qxmlmoodle/question/matching/SubQuestion.java","5","87","Found 'DD'-anomaly for variable 'bImportOk' (lines '87'-'99').","Controversial Rules","DataflowAnomalyAnalysis"
"114","fr.qxmlmoodle.question.matching","src/fr/qxmlmoodle/question/matching/SubQuestion.java","5","89","Found 'DD'-anomaly for variable 'haveAnswer' (lines '89'-'102').","Controversial Rules","DataflowAnomalyAnalysis"
"115","fr.qxmlmoodle.question.matching","src/fr/qxmlmoodle/question/matching/SubQuestion.java","5","89","Found 'DD'-anomaly for variable 'haveText' (lines '89'-'96').","Controversial Rules","DataflowAnomalyAnalysis"
"116","fr.qxmlmoodle.question.matching","src/fr/qxmlmoodle/question/matching/SubQuestion.java","5","96","Found 'DD'-anomaly for variable 'haveText' (lines '96'-'96').","Controversial Rules","DataflowAnomalyAnalysis"
"117","fr.qxmlmoodle.question.matching","src/fr/qxmlmoodle/question/matching/SubQuestion.java","5","102","Found 'DD'-anomaly for variable 'haveAnswer' (lines '102'-'102').","Controversial Rules","DataflowAnomalyAnalysis"
"118","fr.qxmlmoodle.question.matching","src/fr/qxmlmoodle/question/matching/SubQuestions.java","5","44","Found 'DD'-anomaly for variable 'bExportOk' (lines '44'-'49').","Controversial Rules","DataflowAnomalyAnalysis"
"119","fr.qxmlmoodle.question.matching","src/fr/qxmlmoodle/question/matching/SubQuestions.java","5","66","Found 'DD'-anomaly for variable 'bImportOk' (lines '66'-'72').","Controversial Rules","DataflowAnomalyAnalysis"
"120","fr.qxmlmoodle.question.text","src/fr/qxmlmoodle/question/text/QuestionText.java","5","77","Found 'DD'-anomaly for variable 'bErrorFormat' (lines '77'-'93').","Controversial Rules","DataflowAnomalyAnalysis"
"121","fr.qxmlmoodle.xml","src/fr/qxmlmoodle/xml/XMLImporter.java","5","60","Found 'DD'-anomaly for variable 'loadOk' (lines '60'-'72').","Controversial Rules","DataflowAnomalyAnalysis"
"122","fr.qxmlmoodle.xml","src/fr/qxmlmoodle/xml/XMLImporter.java","5","72","Found 'DD'-anomaly for variable 'loadOk' (lines '72'-'76').","Controversial Rules","DataflowAnomalyAnalysis"
"123","fr.qxmlmoodle.xml","src/fr/qxmlmoodle/xml/XMLImporter.java","5","76","Found 'DD'-anomaly for variable 'loadOk' (lines '76'-'79').","Controversial Rules","DataflowAnomalyAnalysis"
"124","fr.qxmlmoodle.xml","src/fr/qxmlmoodle/xml/XMLImporter.java","5","92","Found 'DD'-anomaly for variable 'root' (lines '92'-'94').","Controversial Rules","DataflowAnomalyAnalysis"
"125","fr.qxmlmoodle.xml","src/fr/qxmlmoodle/xml/XMLImporter.java","5","119","Found 'DD'-anomaly for variable 'bFoundText' (lines '119'-'127').","Controversial Rules","DataflowAnomalyAnalysis"
"126","fr.qxmlmoodle.xml","src/fr/qxmlmoodle/xml/XMLImporter.java","5","120","Found 'DD'-anomaly for variable 'value' (lines '120'-'126').","Controversial Rules","DataflowAnomalyAnalysis"
"127","fr.qxmlmoodle.xml","src/fr/qxmlmoodle/xml/XMLImporter.java","5","120","Found 'DD'-anomaly for variable 'value' (lines '120'-'139').","Controversial Rules","DataflowAnomalyAnalysis"
"128","fr.qxmlmoodle.xml","src/fr/qxmlmoodle/xml/XMLImporter.java","5","126","Found 'DD'-anomaly for variable 'value' (lines '126'-'139').","Controversial Rules","DataflowAnomalyAnalysis"
"129","fr.qxmlmoodle.xml","src/fr/qxmlmoodle/xml/XMLImporter.java","5","154","Found 'DD'-anomaly for variable 'bFoundText' (lines '154'-'162').","Controversial Rules","DataflowAnomalyAnalysis"
"130","fr.qxmlmoodle.xml","src/fr/qxmlmoodle/xml/XMLImporter.java","5","155","Found 'DD'-anomaly for variable 'value' (lines '155'-'161').","Controversial Rules","DataflowAnomalyAnalysis"
"131","fr.qxmlmoodle.xml","src/fr/qxmlmoodle/xml/XMLImporter.java","5","155","Found 'DD'-anomaly for variable 'value' (lines '155'-'174').","Controversial Rules","DataflowAnomalyAnalysis"
"132","fr.qxmlmoodle.xml","src/fr/qxmlmoodle/xml/XMLImporter.java","5","161","Found 'DD'-anomaly for variable 'value' (lines '161'-'174').","Controversial Rules","DataflowAnomalyAnalysis"
"133","fr.qxmlmoodle.xml","src/fr/qxmlmoodle/xml/XMLImporter.java","5","207","Found 'DD'-anomaly for variable 'val' (lines '207'-'209').","Controversial Rules","DataflowAnomalyAnalysis"
"134","fr.qxmlmoodle.xml","src/fr/qxmlmoodle/xml/XMLImporter.java","5","222","Found 'DD'-anomaly for variable 'val' (lines '222'-'224').","Controversial Rules","DataflowAnomalyAnalysis"
"135","fr.qxmlmoodle.xml","src/fr/qxmlmoodle/xml/XMLImporter.java","5","239","Found 'DD'-anomaly for variable 'val' (lines '239'-'241').","Controversial Rules","DataflowAnomalyAnalysis"
